,mv
2020-01-10,309379.8792845483
2020-01-13,313781.88116561936
2020-01-14,311192.4255458357
2020-01-15,390490.0832995581
2020-01-16,391230.14550257823
2020-01-17,353363.8648531159
2020-01-20,359604.6431680461
2020-01-21,269861.8015453915
2020-01-22,253946.4596311593
2020-01-23,250122.86240434417
2020-02-03,217500.14805266063
2020-02-04,222934.1153335554
2020-02-05,193173.87658525637
2020-02-06,156778.75950170856
2020-02-07,156946.7142211639
2020-02-10,154359.60984012595
2020-02-11,152131.27502670704
2020-02-12,145435.02861550075
2020-02-13,139928.87535808855
2020-02-14,132056.69363442386
2020-02-17,123534.11674789767
2020-02-18,113082.48286370236
2020-02-19,107042.0013942161
2020-02-20,92500.23830647036
2020-02-21,82399.25890557827
2020-02-24,69329.46747439331
2020-02-25,60020.63612792901
2020-02-26,44523.823105315605
2020-02-27,41352.01929764689
2020-02-28,38986.36633886045
2020-03-02,36053.35029407328
2020-03-03,34586.62833034383
2020-03-04,34012.395121209935
2020-03-05,34087.23532012763
2020-03-06,32414.949052568623
2020-03-09,32353.149429449924
2020-03-10,32430.273115817574
2020-03-11,32362.44931966131
2020-03-12,13038.45086017791
2020-03-13,13034.149216847003
2020-03-16,13007.519866461855
2020-03-17,13003.475735964521
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,169507.0724202063
2020-04-16,169834.2308543326
2020-04-17,170531.82781945146
2020-04-20,170926.46696458146
2020-04-21,155948.9186292949
2020-04-22,156388.24071149333
2020-04-23,138703.48740541417
2020-04-24,123215.87434081176
2020-04-27,123557.08468487108
2020-04-28,93560.00276119968
2020-04-29,93629.53606924642
2020-04-30,300151.6691851012
2020-05-06,301805.03742570634
2020-05-07,301149.76039639814
2020-05-08,302517.0003843835
2020-05-11,261064.3378364545
2020-05-12,262429.9664620309
2020-05-13,262740.2120938583
2020-05-14,261467.09641539716
2020-05-15,268987.0322331324
2020-05-18,266782.49836664146
2020-05-19,262312.2631101895
2020-05-20,257999.18636333614
2020-05-21,138796.5894214431
2020-05-22,111966.6815428345
2020-05-25,73896.33958794641
2020-05-26,50160.321301695156
2020-05-27,33081.246188383426
2020-05-28,14585.488748750824
2020-05-29,14598.55026758364
2020-06-01,14616.547414074039
2020-06-02,14634.074988492375
2020-06-03,14637.740606291272
2020-06-04,14640.624820754734
2020-06-05,14640.329625926275
2020-06-08,14652.913217969965
2020-06-09,14643.614509957648
2020-06-10,14653.561331239212
2020-06-11,9780.069521992222
2020-06-12,9778.62231454308
2020-06-15,265092.9002719892
2020-06-16,268078.09846527653
2020-06-17,266479.8848612978
2020-06-18,267259.326389196
2020-06-19,205822.05132764997
2020-06-22,195369.15043623396
2020-06-23,194978.06191810328
2020-06-24,193932.72781005607
2020-06-29,180814.61019833919
2020-06-30,378134.8249620276
2020-07-01,382195.6034167597
2020-07-02,387329.5471262112
2020-07-03,385141.78518391924
2020-07-06,367246.7109066069
2020-07-07,361215.0109570854
2020-07-08,346939.4110533653
2020-07-09,332774.07829135464
2020-07-10,321397.12436193204
2020-07-13,306459.8118132011
2020-07-14,288848.5824807653
2020-07-15,470313.45859460667
2020-07-16,444334.2893635726
2020-07-17,429173.55346248794
2020-07-20,386469.0760385886
2020-07-21,162107.6597891088
2020-07-22,140670.636941067
2020-07-23,138502.67278190798
2020-07-24,116208.44887358375
2020-07-27,116787.65774197446
2020-07-28,95456.43734459941
2020-07-29,75258.02633131761
2020-07-30,74273.85570940457
2020-07-31,467013.78312309965
2020-08-03,470444.97902588994
2020-08-04,468927.36085179733
2020-08-05,470804.02346776915
2020-08-06,413201.2907546456
2020-08-07,407187.07710250746
2020-08-10,407476.50321777776
2020-08-11,351929.78100149264
2020-08-12,333424.78180292883
2020-08-13,313099.1915549834
2020-08-14,168663.72083053304
2020-08-17,152726.98874648253
2020-08-18,134482.95486224024
2020-08-19,133738.16538430352
2020-08-20,133679.35092373064
2020-08-21,112572.0815009649
2020-08-24,92101.27324633977
2020-08-25,90850.91958635485
2020-08-26,71817.37782453989
2020-08-27,35716.5218150579
2020-08-28,35444.33477522634
2020-08-31,457372.08311437606
2020-09-01,459910.89492776245
2020-09-02,460605.9431557621
2020-09-03,457809.00132894923
2020-09-04,279063.4098331107
2020-09-07,274353.58510262694
2020-09-08,237218.55342265713
2020-09-09,163142.11077742264
2020-09-10,109436.40201846066
2020-09-11,110131.34643050903
2020-09-14,53069.96487855469
2020-09-15,421880.933502823
2020-09-16,417928.43861714826
2020-09-17,417101.0649044836
2020-09-18,405848.2857562441
2020-09-21,272035.28785054217
2020-09-22,251654.24986784236
2020-09-23,252133.43271500245
2020-09-24,212161.81832757307
2020-09-25,212496.53004189796
2020-09-28,161760.52107373174
2020-09-29,115923.37758523115
2020-09-30,414301.9527304451
2020-10-09,425874.92301242985
2020-10-12,434251.71838130214
2020-10-13,433107.80543659744
2020-10-14,410597.1204856983
2020-10-15,476133.1894526885
2020-10-16,475040.2175464368
2020-10-19,451868.75247315364
2020-10-20,432620.2267851204
2020-10-21,358966.1049546039
2020-10-22,273555.33086580166
2020-10-23,233157.71959959544
2020-10-26,220682.8847033728
2020-10-27,172184.11498618269
2020-10-28,138638.66406665262
2020-10-29,119058.39069969648
2020-10-30,111026.43678488386
2020-11-02,111555.51094369736
2020-11-03,111727.27977409174
2020-11-04,111874.90097666139
2020-11-05,112446.97450803568
