code,snapshot_last_seen,local_last,baostock_last,residual_suspect
300330,,,2023-05-24,False
300336,,,2023-07-05,False
300356,,,2023-07-13,False
300362,,,2021-08-30,False
300367,2019-06-28,,2022-06-30,False
300392,,,2023-07-10,False
300431,,,2020-11-10,False
300495,2020-06-30,,2024-09-20,False
300526,2021-06-30,,2023-07-12,False
300630,2022-12-30,,2025-05-21,False
300742,,,2024-07-22,False
300799,,,2024-07-29,False
399332,,,2025-04-30,False
399404,,,2025-07-03,False
399427,,,2024-04-19,False
399904,,,2025-04-30,False
399907,,,2025-04-30,False
399915,,,2025-04-30,False
399916,,,2025-04-30,False
399918,,,2025-04-30,False
399920,,,2025-04-30,False
399923,,,2025-04-30,False
399926,,,2025-04-30,False
399927,,,2025-04-30,False
399929,,,2025-04-30,False
399930,,,2025-04-30,False
399936,,,2025-04-30,False
399937,,,2025-04-30,False
399938,,,2025-04-30,False
399941,,,2025-04-30,False
399942,,,2025-04-30,False
399943,,,2025-04-30,False
399944,,,2025-04-30,False
399945,,,2025-04-30,False
399946,,,2025-04-30,False
399947,,,2025-04-30,False
399948,,,2025-04-30,False
399949,,,2025-04-30,False
399953,,,2025-04-30,False
399954,,,2025-04-30,False
399956,,,2025-04-30,False
399958,,,2025-04-30,False
399960,,,2025-04-30,False
399962,,,2025-04-30,False
399968,,,2025-04-30,False
399980,,,2025-04-30,False
600068,,,2021-09-13,False
600069,2019-12-31,,2020-08-27,False
600070,2020-06-30,,2025-04-30,False
600074,,,2020-06-02,False
600077,,,2023-07-25,False
600083,2019-12-31,,2025-03-05,False
600086,2019-06-28,,2021-03-17,False
600090,2020-06-30,,2022-07-07,False
600091,,,2022-06-21,False
600093,2021-06-30,,2022-06-23,False
600112,,,2024-08-15,False
600122,2019-06-28,,2023-06-26,False
600139,,,2023-03-27,False
600145,,,2022-04-28,False
600146,2019-12-31,,2022-06-30,False
600175,2019-12-31,,2020-08-14,False
600190,2020-06-30,,2025-07-24,False
600209,,,2022-06-22,False
600213,,,2024-10-17,False
600220,2019-06-28,,2024-07-10,False
600225,2024-06-28,,2025-03-06,False
600240,,,2020-02-05,False
600242,,,2023-06-29,False
600247,,,2021-03-22,False
600260,2021-06-30,,2023-02-15,False
600275,,,2022-06-22,False
600277,2023-12-29,,2024-07-18,False
600290,2019-06-28,,2024-01-16,False
600291,2020-12-31,,2022-06-14,False
600297,2024-06-28,,2024-08-28,False
600306,,,2024-06-26,False
600311,,,2023-03-27,False
600317,2020-12-31,,2021-01-29,False
600321,,,2024-06-27,False
600385,,,2022-07-07,False
600387,,,2025-07-10,False
600393,,,2023-07-18,False
600401,,,2019-07-12,False
600462,,,2025-07-18,False
600466,2021-06-30,,2023-06-06,False
600485,,,2021-06-01,False
600532,2022-06-30,,2023-06-28,False
600555,,,2022-07-13,False
600565,2021-06-30,,2024-08-07,False
600614,,,2021-07-21,False
600634,,,2021-07-21,False
600647,,,2024-07-03,False
600652,,,2022-06-21,False
600677,2019-06-28,,2021-03-18,False
600687,,,2021-03-03,False
600695,,,2022-06-14,False
600701,,,2021-04-30,False
600705,,,2025-05-26,False
600723,2020-12-31,,2021-10-22,False
600747,,,2019-12-12,False
600766,,,2024-07-03,False
600767,,,2023-06-29,False
600781,2019-06-28,,2023-06-28,False
600804,2021-12-31,,2025-07-02,False
600811,2024-12-31,,2025-04-30,False
600823,2022-12-30,,2024-06-14,False
600836,,,2024-07-11,False
600837,,,2025-03-04,False
600856,2019-06-28,,2022-06-22,False
600870,,,2022-06-30,False
600890,,,2022-06-21,False
600891,,,2021-05-12,False
600896,,,2022-07-25,False
600898,,,2025-02-10,False
600978,2019-12-31,,2021-03-22,False
601028,2024-12-31,,2025-05-26,False
601258,2022-12-30,,2023-06-30,False
601558,,,2020-07-02,False
601989,,,2025-09-04,False
603003,,,2025-07-02,False
603133,,,2024-07-03,False
603157,,,2022-05-24,False
603555,,,2024-03-29,False
603603,,,2024-04-25,False
603963,,,2025-03-21,False
603996,,,2022-05-24,False
688086,,,2023-07-07,False
688555,,,2023-07-07,False
