调仓日,方向,代码,名称,参考价(元),手数(手),股数(股),金额(元),手续费(元),调仓原因
2020-01-14,买入,300598,诚迈科技,178.96,1,100,17896.0,22.37,纳入持仓池
2020-01-14,买入,002291,遥望科技,27.47,7,700,19229.0,24.04,纳入持仓池
2020-01-14,买入,002351,漫步者,22.63,8,800,18104.0,22.63,纳入持仓池
2020-01-14,买入,002605,姚记科技,36.85,5,500,18425.0,23.03,纳入持仓池
2020-01-14,买入,603005,晶方科技,60.17,3,300,18051.0,22.56,纳入持仓池
2020-01-14,买入,600745,*ST闻泰,106.5,1,100,10650.0,13.31,纳入持仓池
2020-01-14,买入,603501,豪威集团,166.44,1,100,16644.0,20.8,纳入持仓池
2020-01-14,买入,300783,三只松鼠,68.98,2,200,13796.0,17.25,纳入持仓池
2020-01-14,买入,300552,万集科技,100.47,1,100,10047.0,12.56,纳入持仓池
2020-01-14,买入,002201,九鼎新材,21.1,9,900,18990.0,23.74,纳入持仓池
2020-01-14,买入,300661,圣邦股份,268.83,0,0,0.0,0.0,纳入持仓池
2020-01-14,买入,300223,北京君正,89.6,2,200,17920.0,22.4,纳入持仓池
2020-01-14,买入,603986,兆易创新,253.99,0,0,0.0,0.0,纳入持仓池
2020-01-14,买入,002850,科达利,54.99,3,300,16497.0,20.62,纳入持仓池
2020-01-14,买入,002552,宝鼎科技,24.77,8,800,19816.0,24.77,纳入持仓池
2020-01-14,买入,300468,四方精创,40.89,4,400,16356.0,20.45,纳入持仓池
2020-01-14,买入,600223,福瑞达,10.45,19,1900,19855.0,24.82,纳入持仓池
2020-01-14,买入,002045,国光电器,12.77,15,1500,19155.0,23.94,纳入持仓池
2020-01-14,买入,300341,麦克奥迪,14.23,14,1400,19922.0,24.9,纳入持仓池
2020-01-14,买入,300433,蓝思科技,16.68,11,1100,18348.0,22.93,纳入持仓池
2020-01-14,买入,603598,引力传媒,20.5,9,900,18450.0,23.06,纳入持仓池
2020-01-14,买入,603799,华友钴业,48.9,4,400,19560.0,24.45,纳入持仓池
2020-01-14,买入,002623,亚玛顿,35.67,5,500,17835.0,22.29,纳入持仓池
2020-01-14,买入,002241,歌尔股份,21.99,9,900,19791.0,24.74,纳入持仓池
2020-01-14,买入,300782,卓胜微,432.93,0,0,0.0,0.0,纳入持仓池
2020-01-14,买入,300643,万通智控,21.8,9,900,19620.0,24.53,纳入持仓池
2020-01-14,买入,002156,通富微电,18.57,10,1000,18570.0,23.21,纳入持仓池
2020-01-14,买入,603129,春风动力,50.51,3,300,15153.0,18.94,纳入持仓池
2020-01-14,买入,300088,长信科技,11.5,17,1700,19550.0,24.44,纳入持仓池
2020-01-14,买入,300113,顺网科技,31.92,6,600,19152.0,23.94,纳入持仓池
2020-01-23,卖出,300783,三只松鼠,61.55,3,300,18465.0,23.08,移出持仓池
2020-01-23,卖出,002201,九鼎新材,18.95,10,1000,18950.0,23.69,移出持仓池
2020-01-23,卖出,002850,科达利,54.4,3,300,16320.0,20.4,移出持仓池
2020-01-23,卖出,603598,引力传媒,17.3,11,1100,19030.0,23.79,移出持仓池
2020-01-23,卖出,002623,亚玛顿,32.59,6,600,19554.0,24.44,移出持仓池
2020-01-23,卖出,002241,歌尔股份,23.61,8,800,18888.0,23.61,移出持仓池
2020-01-23,卖出,300782,卓胜微,469.0,0,0,0.0,0.0,移出持仓池
2020-01-23,卖出,300643,万通智控,19.05,10,1000,19050.0,23.81,移出持仓池
2020-01-23,卖出,603129,春风动力,46.0,4,400,18400.0,23.0,移出持仓池
2020-01-23,卖出,300113,顺网科技,30.1,6,600,18060.0,22.57,移出持仓池
2020-01-23,买入,000700,模塑科技,12.29,16,1600,19664.0,24.58,纳入持仓池
2020-01-23,买入,000818,航锦科技,28.4,7,700,19880.0,24.85,纳入持仓池
2020-01-23,买入,002555,三七互娱,32.41,6,600,19446.0,24.31,纳入持仓池
2020-01-23,买入,300460,ST惠伦,22.53,8,800,18024.0,22.53,纳入持仓池
2020-01-23,买入,603825,ST华扬,27.02,7,700,18914.0,23.64,纳入持仓池
2020-01-23,买入,002791,坚朗五金,41.85,4,400,16740.0,20.93,纳入持仓池
2020-01-23,买入,603920,世运电路,29.6,6,600,17760.0,22.2,纳入持仓池
2020-01-23,买入,300456,赛微电子,30.2,6,600,18120.0,22.65,纳入持仓池
2020-01-23,买入,603160,汇顶科技,338.06,0,0,0.0,0.0,纳入持仓池
2020-01-23,买入,601689,拓普集团,22.99,8,800,18392.0,22.99,纳入持仓池
2020-01-23,持有,300598,诚迈科技,202.39,--,--,--,--,继续持有
2020-01-23,持有,002291,遥望科技,27.09,--,--,--,--,继续持有
2020-01-23,持有,603005,晶方科技,80.9,--,--,--,--,继续持有
2020-01-23,持有,002605,姚记科技,38.2,--,--,--,--,继续持有
2020-01-23,持有,600745,*ST闻泰,125.0,--,--,--,--,继续持有
2020-01-23,持有,002351,漫步者,19.84,--,--,--,--,继续持有
2020-01-23,持有,300433,蓝思科技,20.68,--,--,--,--,继续持有
2020-01-23,持有,300223,北京君正,101.78,--,--,--,--,继续持有
2020-01-23,持有,002156,通富微电,24.68,--,--,--,--,继续持有
2020-01-23,持有,603501,豪威集团,185.55,--,--,--,--,继续持有
2020-01-23,持有,300552,万集科技,91.51,--,--,--,--,继续持有
