date,nav
2019-11-07,1.0164829265207016
2019-11-08,1.0165635997688383
2019-11-11,1.0166442794196136
2019-11-12,1.0167249654735357
2019-11-13,1.016805657931113
2019-11-14,1.0168863567928537
2019-11-15,1.016967062059266
2019-11-18,1.0170477737308579
2019-11-19,1.017128491808138
2019-11-20,1.0172092162916149
2019-11-21,1.0172899471817969
2019-11-22,1.0173706844791923
2019-11-25,1.0174514281843097
2019-11-26,1.0175321782976576
2019-11-27,1.0176129348197447
2019-11-28,1.0176936977510795
2019-11-29,1.017774467092171
2019-12-02,1.0178552428435275
2019-12-03,1.017936025005658
2019-12-04,1.018016813579071
2019-12-05,1.0180976085642757
2019-12-06,1.0181784099617808
2019-12-09,1.0182592177720953
2019-12-10,1.018340031995728
2019-12-11,1.0184208526331882
2019-12-12,1.0185016796849844
2019-12-13,1.0185825131516262
2019-12-16,1.0186633530336224
2019-12-17,1.0187441993314823
2019-12-18,1.018825052045715
2019-12-19,1.0189059111768297
2019-12-20,1.0189867767253358
2019-12-23,1.0190676486917425
2019-12-24,1.0191485270765592
2019-12-25,1.0192294118802956
2019-12-26,1.0193103031034607
2019-12-27,1.0193912007465642
2019-12-30,1.0194721048101156
2019-12-31,1.0195530152946244
2020-01-02,1.0196339322006003
2020-01-03,1.0197148555285527
2020-01-06,1.0197957852789914
2020-01-07,1.0198767214524262
2020-01-08,1.019957664049367
2020-01-09,1.0200386130703234
2020-01-10,1.0201195685158053
2020-01-13,1.0653362384223695
2020-01-14,1.0628353320552428
2020-01-15,1.0667520540104543
2020-01-16,1.0762913523383544
2020-01-17,1.065883097893201
2020-01-20,1.1080562029766126
2020-01-21,1.1072941088725632
2020-01-22,1.1587282551993512
2020-01-23,1.1445455519978704
2020-02-03,1.0322707813484213
2020-02-04,1.102593632423067
2020-02-05,1.1137830544911187
2020-02-06,1.1425828519754704
2020-02-07,1.1488976259704404
2020-02-10,1.153998715376753
2020-02-11,1.1717187907903766
2020-02-12,1.2034877309991283
2020-02-13,1.2167694174883825
2020-02-14,1.2205111747653496
2020-02-17,1.2643754100336493
2020-02-18,1.314249089615852
2020-02-19,1.29847196377864
2020-02-20,1.3207642465068763
2020-02-21,1.350386843077927
2020-02-24,1.3906778806838085
2020-02-25,1.4115143252911315
2020-02-26,1.3074690675130365
2020-02-27,1.2662521777026843
2020-02-28,1.212462180419303
2020-03-02,1.2368645712837725
2020-03-03,1.2581485819568219
2020-03-04,1.216248750698748
2020-03-05,1.22042385866583
2020-03-06,1.2147353757516777
2020-03-09,1.1401636739757972
2020-03-10,1.1402541631562715
2020-03-11,1.1403446595184268
2020-03-12,1.140435163062833
2020-03-13,1.1405256737900604
2020-03-16,1.1406161917006787
2020-03-17,1.1407067167952583
2020-03-18,1.140797249074369
2020-03-19,1.1408877885385813
2020-03-20,1.1409783351884655
2020-03-23,1.1410688890245917
2020-03-24,1.1411594500475302
2020-03-25,1.1412500182578516
2020-03-26,1.141340593656126
2020-03-27,1.1414311762429241
2020-03-30,1.1415217660188164
2020-03-31,1.1416123629843735
2020-04-01,1.141702967140166
2020-04-02,1.1417935784867643
2020-04-03,1.1418841970247395
2020-04-07,1.1419748227546622
2020-04-08,1.142065455677103
2020-04-09,1.142156095792633
2020-04-10,1.142246743101823
2020-04-13,1.142337397605244
2020-04-14,1.1424280593034666
2020-04-15,1.1425187281970621
2020-04-16,1.1426094042866017
2020-04-17,1.1427000875726563
2020-04-20,1.142790778055797
2020-04-21,1.1428814757365953
2020-04-22,1.1429721806156221
2020-04-23,1.1430628926934487
2020-04-24,1.1431536119706467
2020-04-27,1.1432443384477873
2020-04-28,1.1433350721254418
2020-04-29,1.143425813004182
2020-04-30,1.143516561084579
2020-05-06,1.143607316367205
2020-05-07,1.143698078852631
2020-05-08,1.143788848541429
2020-05-11,1.1438796254341703
2020-05-12,1.1439704095314271
2020-05-13,1.144061200833771
2020-05-14,1.1441519993417737
2020-05-15,1.1442428050560072
2020-05-18,1.143021785687892
2020-05-19,1.1828723503571215
2020-05-20,1.1584393967777251
2020-05-21,1.1256246470766673
2020-05-22,1.1094554392772216
2020-05-25,1.1088684134822706
2020-05-26,1.1489746628232402
2020-05-27,1.130139621269855
2020-05-28,1.1155279842084183
2020-05-29,1.1370949793462515
2020-06-01,1.1823817364071991
2020-06-02,1.15618771365153
2020-06-03,1.1610429682469747
2020-06-04,1.1452789525530875
2020-06-05,1.1485905973987025
2020-06-08,1.1369890564957856
2020-06-09,1.151311756083443
2020-06-10,1.157888758193207
2020-06-11,1.1645389471211087
2020-06-12,1.1770164114846278
2020-06-15,1.178022394774721
2020-06-16,1.2083348915714192
2020-06-17,1.2144631109252915
2020-06-18,1.2069222621697904
2020-06-19,1.2257747109229375
2020-06-22,1.256054444680623
2020-06-23,1.2692236770995178
2020-06-24,1.2606282714250996
2020-06-29,1.2584542865706894
2020-06-30,1.2902467921470424
2020-07-01,1.2770049761142646
2020-07-02,1.2634072484347174
2020-07-03,1.292401836102728
2020-07-06,1.333831793944193
2020-07-07,1.363720077355416
2020-07-08,1.3923085885351631
2020-07-09,1.4498751099142997
2020-07-10,1.4781655593304504
2020-07-13,1.5317792620806245
2020-07-14,1.5037912849278252
2020-07-15,1.4859692604887695
2020-07-16,1.3789716028215657
2020-07-17,1.3846792209648457
2020-07-20,1.4024122221585655
2020-07-21,1.4325918879047694
2020-07-22,1.4613586500416527
2020-07-23,1.506695396077442
2020-07-24,1.414166706768428
2020-07-27,1.4182929330749738
2020-07-28,1.43629682890548
2020-07-29,1.495116671589022
2020-07-30,1.4950419503311276
2020-07-31,1.53416734135603
2020-08-03,1.5947237805380288
2020-08-04,1.562661866749718
2020-08-05,1.6042415660325442
2020-08-06,1.590220470891721
2020-08-07,1.600792295319098
2020-08-10,1.5852245409537724
2020-08-11,1.543621096695324
